dias,casos,activos
0,571,554
1,830,771
2,1287,1208
3,1975,1870
4,2744,2613
5,4515,4349
6,5974,5739
7,7711,7417
8,9692,9308
9,11791,11289
10,14380,13748
11,17205,16369
12,20440,19383
13,24324,22942
14,28018,26302
15,31161,28985
16,34546,31774
17,37198,33738
18,40171,35982
19,42638,37626
20,44653,38791
21,58761,51591
22,63851,55748
23,66492,56873
24,68500,57416
25,70548,57934
26,72436,58016
27,74185,57805
28,74576,56301
29,75465,54921
30,76288,53284
31,76936,52093
32,77150,49824
33,77658,47765
34,78064,45600
35,78497,43258
36,78824,39919
37,79251,37414
38,79824,35129
39,80026,32616
40,80151,30004
41,80270,27423
42,80409,25353
43,80552,23784
44,80651,22179
45,80695,20533
46,80735,19016
47,80754,17721
48,80778,16136
49,80793,14831
50,80813,13524
51,80824,12088
52,80844,10733
53,80860,9893
